Subject,itemID,adjective,adjEighth,adjFifth,adjFirst,adjFourth,adjSecond,adjSeventh,adjSixth,adjThird,DegreeOrder,Condition,Restrictor,Expression,Predicate,Position,Answer
273,32,spicy,0,100,100,0,100,0,85,62,HFDCGEAB,Tr,AFGH,Num3,are served with noodles,1,100
273,32,spicy,0,100,100,0,100,0,85,62,HFDCGEAB,Fa,ABH,Conj3,contain holy basil,4,0
273,32,spicy,0,100,100,0,100,0,85,62,HFDCGEAB,T1,ABE,None,contain lemongrass,3,0
273,32,spicy,0,100,100,0,100,0,85,62,HFDCGEAB,T2,ABDH,Num2,come with complimentary prawn crackers,2,85
236,234,large,43,92,79,82,98,33,59,68,EHDFGCAB,Tr,FGH,All,are located on the top floor,4,98
236,234,large,43,92,79,82,98,33,59,68,EHDFGCAB,Fa,AH,Conj2,have air conditioning,3,2
236,234,large,43,92,79,82,98,33,59,68,EHDFGCAB,T1,ABEGH,Num2,have double-glazed windows,2,89
236,234,large,43,92,79,82,98,33,59,68,EHDFGCAB,T2,ABDE,Some,come pre-furnished,1,61
257,33,profitable,58,67,82,17,31,61,90,7,GCABFHED,Tr,GH,Conj2,are construction companies,1,100
257,33,profitable,58,67,82,17,31,61,90,7,GCABFHED,Fa,ABH,None,have 24/7 customer support,3,10
257,33,profitable,58,67,82,17,31,61,90,7,GCABFHED,T1,DGH,Conj3,are family businesses,4,95
257,33,profitable,58,67,82,17,31,61,90,7,GCABFHED,T2,DEH,All,have employee uniforms,2,100
282,235,late,0,0,1,100,0,64,100,0,DBAGEHFC,Tr,FGH,All,drink tea,4,100
282,235,late,0,0,1,100,0,64,100,0,DBAGEHFC,Fa,AB,Some,use post-it notes,1,0
282,235,late,0,0,1,100,0,64,100,0,DBAGEHFC,T1,DGH,Conj3,work in HR,3,0
282,235,late,0,0,1,100,0,64,100,0,DBAGEHFC,T2,ADEH,Num3,bring packed lunches,2,0
54,236,spicy,50,50,75,50,50,50,75,73,DCGBFEHA,Tr,ABC,None,contain holy basil,3,64
54,236,spicy,50,50,75,50,50,50,75,73,DCGBFEHA,Fa,ABEH,All,come with complimentary prawn crackers,1,73
54,236,spicy,50,50,75,50,50,50,75,73,DCGBFEHA,T1,ADFGH,Num3,contain lemongrass,4,71
54,236,spicy,50,50,75,50,50,50,75,73,DCGBFEHA,T2,ABEH,Num2,are served with noodles,2,50
105,237,profitable,63,36,69,59,63,82,36,68,FHAEBGCD,Tr,AFGH,Num3,have 24/7 customer support,3,15
105,237,profitable,63,36,69,59,63,82,36,68,FHAEBGCD,Fa,ABH,None,are construction companies,4,87
105,237,profitable,63,36,69,59,63,82,36,68,FHAEBGCD,T1,DH,Conj2,have employee uniforms,1,67
105,237,profitable,63,36,69,59,63,82,36,68,FHAEBGCD,T2,ABDE,Some,are family businesses,2,74
145,34,safe,13,23,60,0,38,100,33,88,FEGACDHB,Tr,ABC,None,have a public library,3,2
145,34,safe,13,23,60,0,38,100,33,88,FEGACDHB,Fa,ABDE,Num3,have a hardware store,1,11
145,34,safe,13,23,60,0,38,100,33,88,FEGACDHB,T1,EH,Conj2,border a river,4,81
145,34,safe,13,23,60,0,38,100,33,88,FEGACDHB,T2,ABDE,Some,are situated North of the city center,2,38
56,35,complete,53,92,70,100,100,70,14,3,EGAHFBDC,Tr,GH,Conj2,affect retired clients,2,100
56,35,complete,53,92,70,100,100,70,14,3,EGAHFBDC,Fa,ABD,Num2,require an official statement from the bank,4,28
56,35,complete,53,92,70,100,100,70,14,3,EGAHFBDC,T1,DEGH,Some,are about credit card fraud,1,65
56,35,complete,53,92,70,100,100,70,14,3,EGAHFBDC,T2,ADEH,Num3,involve a repeat offender,3,57
266,238,safe,77,2,32,64,94,52,37,9,CHBFADEG,Tr,ADGH,Some,have a public library,1,73
266,238,safe,77,2,32,64,94,52,37,9,CHBFADEG,Fa,ABDE,Num3,have a hardware store,2,17
266,238,safe,77,2,32,64,94,52,37,9,CHBFADEG,T1,DEGH,All,are situated North of the city center,4,63
266,238,safe,77,2,32,64,94,52,37,9,CHBFADEG,T2,DEH,Conj3,border a river,3,85
164,239,complete,50,69,71,87,50,61,50,70,FDBCHGAE,Tr,GH,Conj2,are about credit card fraud,3,67
164,239,complete,50,69,71,87,50,61,50,70,FDBCHGAE,Fa,ABH,None,affect retired clients,1,68
164,239,complete,50,69,71,87,50,61,50,70,FDBCHGAE,T1,DGH,Conj3,involve a repeat offender,2,50
164,239,complete,50,69,71,87,50,61,50,70,FDBCHGAE,T2,ADEH,Num3,require an official statement from the bank,4,77
103,36,full,37,80,60,14,0,100,58,100,EAHBFDGC,Tr,FGH,Conj3,used a Boeing model plane,4,25
103,36,full,37,80,60,14,0,100,58,100,EAHBFDGC,Fa,ABDH,All,included a layover,3,7
103,36,full,37,80,60,14,0,100,58,100,EAHBFDGC,T1,DH,Conj2,left in the morning,2,9
103,36,full,37,80,60,14,0,100,58,100,EAHBFDGC,T2,ABDE,None,were international,1,97
46,240,full,37,70,100,0,100,87,83,100,GFHACDEB,Tr,GH,Conj2,were international,2,100
46,240,full,37,70,100,0,100,87,83,100,GFHACDEB,Fa,ABH,Conj3,left in the morning,1,0
46,240,full,37,70,100,0,100,87,83,100,GFHACDEB,T1,DEGH,All,used a Boeing model plane,4,50
46,240,full,37,70,100,0,100,87,83,100,GFHACDEB,T2,ABDH,Num2,included a layover,3,50
194,37,tall,35,17,42,76,41,22,50,63,EBFGDCAH,Tr,AFGH,Num3,drink coffee,2,30
194,37,tall,35,17,42,76,41,22,50,63,EBFGDCAH,Fa,ABH,None,have roommates,4,41
194,37,tall,35,17,42,76,41,22,50,63,EBFGDCAH,T1,EH,Conj2,play video games,3,65
194,37,tall,35,17,42,76,41,22,50,63,EBFGDCAH,T2,ABDE,Some,use public transport,1,62
2,241,tall,100,0,1,100,100,0,100,0,AECFBGDH,Tr,AEGH,Some,drink coffee,3,84
2,241,tall,100,0,1,100,100,0,100,0,AECFBGDH,Fa,ABD,Num2,have roommates,2,0
2,241,tall,100,0,1,100,100,0,100,0,AECFBGDH,T1,EGH,Conj3,use public transport,1,100
2,241,tall,100,0,1,100,100,0,100,0,AECFBGDH,T2,ABDE,None,play video games,4,20
159,38,powerful,40,79,100,13,18,100,100,100,EBFADHGC,Tr,AEGH,Some,have leather interiors,1,100
159,38,powerful,40,79,100,13,18,100,100,100,EBFADHGC,Fa,ABDE,Num3,have a touchscreen,3,0
159,38,powerful,40,79,100,13,18,100,100,100,EBFADHGC,T1,ABDGH,Num2,have heated seats,4,100
159,38,powerful,40,79,100,13,18,100,100,100,EBFADHGC,T2,AE,Conj2,are black,2,0
119,242,powerful,40,84,13,54,90,65,76,22,AHBDGFEC,Tr,ABC,None,are black,1,46
119,242,powerful,40,84,13,54,90,65,76,22,AHBDGFEC,Fa,ABH,Conj3,have leather interiors,2,49
119,242,powerful,40,84,13,54,90,65,76,22,AHBDGFEC,T1,EH,Conj2,have heated seats,3,77
119,242,powerful,40,84,13,54,90,65,76,22,AHBDGFEC,T2,DEH,All,have a touchscreen,4,65
142,39,young,38,0,31,86,13,58,100,54,DBCGAHEF,Tr,ABGH,Num2,have houseplants,4,100
142,39,young,38,0,31,86,13,58,100,54,DBCGAHEF,Fa,ABDH,All,use black pens,3,0
142,39,young,38,0,31,86,13,58,100,54,DBCGAHEF,T1,EGH,Conj3,are left-handed,2,80
142,39,young,38,0,31,86,13,58,100,54,DBCGAHEF,T2,ADEH,Num3,keep journals,1,89
93,243,young,54,67,60,64,76,65,64,65,CFHEAGDB,Tr,AFGH,Num3,have houseplants,1,77
93,243,young,54,67,60,64,76,65,64,65,CFHEAGDB,Fa,AB,Some,keep journals,3,80
93,243,young,54,67,60,64,76,65,64,65,CFHEAGDB,T1,DH,Conj2,use black pens,4,36
93,243,young,54,67,60,64,76,65,64,65,CFHEAGDB,T2,DEH,Conj3,are left-handed,2,94
220,40,hot,0,0,1,0,100,0,0,0,EHGFCADB,Tr,ADGH,Some,were workdays,2,80
220,40,hot,0,0,1,0,100,0,0,0,EHGFCADB,Fa,AH,Conj2,had heavy traffic,3,34
220,40,hot,0,0,1,0,100,0,0,0,EHGFCADB,T1,ABDGH,Num2,were windy,1,100
220,40,hot,0,0,1,0,100,0,0,0,EHGFCADB,T2,DEH,Conj3,had high humidity,4,92
68,244,hot,35,43,78,8,23,36,100,21,GCBAFHDE,Tr,FGH,Conj3,had high humidity,4,69
68,244,hot,35,43,78,8,23,36,100,21,GCBAFHDE,Fa,ABD,Num2,were windy,1,74
68,244,hot,35,43,78,8,23,36,100,21,GCBAFHDE,T1,DEGH,All,were workdays,2,76
68,244,hot,35,43,78,8,23,36,100,21,GCBAFHDE,T2,ABDE,Some,had heavy traffic,3,71
59,41,expensive,66,80,78,85,62,34,60,66,CEDHAFBG,Tr,FGH,Conj3,have tinted windows,2,63
59,41,expensive,66,80,78,85,62,34,60,66,CEDHAFBG,Fa,AB,Some,are grey,1,71
59,41,expensive,66,80,78,85,62,34,60,66,CEDHAFBG,T1,EH,Conj2,have reflector headlights,3,72
59,41,expensive,66,80,78,85,62,34,60,66,CEDHAFBG,T2,ABDE,None,have the gas tank door on the left side,4,73
274,245,expensive,69,63,10,20,79,12,37,94,AGHCEDBF,Tr,ABC,None,have the gas tank door on the left side,3,35
274,245,expensive,69,63,10,20,79,12,37,94,AGHCEDBF,Fa,ABDE,Num3,have tinted windows,2,20
274,245,expensive,69,63,10,20,79,12,37,94,AGHCEDBF,T1,DGH,Conj3,have reflector headlights,1,62
274,245,expensive,69,63,10,20,79,12,37,94,AGHCEDBF,T2,ABEH,Num2,are grey,4,71
275,42,large,0,62,12,50,42,0,0,68,DEHFGABC,Tr,FGH,Conj3,come pre-furnished,2,61
275,42,large,0,62,12,50,42,0,0,68,DEHFGABC,Fa,ABEH,All,have air conditioning,3,0
275,42,large,0,62,12,50,42,0,0,68,DEHFGABC,T1,ADFGH,Num3,have double-glazed windows,1,76
275,42,large,0,62,12,50,42,0,0,68,DEHFGABC,T2,ABDE,Some,are located on the top floor,4,33
267,246,large,61,60,68,60,61,60,65,57,EACGHBFD,Tr,AFGH,Num3,come pre-furnished,4,63
267,246,large,61,60,68,60,61,60,65,57,EACGHBFD,Fa,ABH,None,are located on the top floor,2,63
267,246,large,61,60,68,60,61,60,65,57,EACGHBFD,T1,ABDGH,Num2,have air conditioning,3,38
267,246,large,61,60,68,60,61,60,65,57,EACGHBFD,T2,ABDE,Some,have double-glazed windows,1,65
265,43,late,0,100,100,0,2,2,100,100,HBEDFGCA,Tr,FGH,All,drink tea,3,100
265,43,late,0,100,100,0,2,2,100,100,HBEDFGCA,Fa,ABD,Num2,bring packed lunches,2,0
265,43,late,0,100,100,0,2,2,100,100,HBEDFGCA,T1,DGH,Conj3,work in HR,1,27
265,43,late,0,100,100,0,2,2,100,100,HBEDFGCA,T2,AD,Conj2,use post-it notes,4,0
278,247,late,100,100,94,0,100,0,0,0,HEABGDCF,Tr,AEGH,Some,bring packed lunches,4,79
278,247,late,100,100,94,0,100,0,0,0,HEABGDCF,Fa,ABEH,All,work in HR,2,83
278,247,late,100,100,94,0,100,0,0,0,HEABGDCF,T1,EH,Conj2,use post-it notes,3,100
278,247,late,100,100,94,0,100,0,0,0,HEABGDCF,T2,DEH,Conj3,drink tea,1,88
150,44,spicy,79,7,15,0,79,88,40,85,FABHGECD,Tr,FGH,Conj3,contain lemongrass,3,50
150,44,spicy,79,7,15,0,79,88,40,85,FABHGECD,Fa,AH,Conj2,contain holy basil,1,0
150,44,spicy,79,7,15,0,79,88,40,85,FABHGECD,T1,ABD,None,are served with noodles,2,61
150,44,spicy,79,7,15,0,79,88,40,85,FABHGECD,T2,ADEH,Num3,come with complimentary prawn crackers,4,39
62,248,spicy,74,88,37,70,40,35,32,72,EGCFDAHB,Tr,FGH,All,contain holy basil,4,60
62,248,spicy,74,88,37,70,40,35,32,72,EGCFDAHB,Fa,ABH,Conj3,contain lemongrass,1,23
62,248,spicy,74,88,37,70,40,35,32,72,EGCFDAHB,T1,ABDGH,Num2,are served with noodles,3,24
62,248,spicy,74,88,37,70,40,35,32,72,EGCFDAHB,T2,ADEH,Num3,come with complimentary prawn crackers,2,71
291,249,profitable,0,51,100,60,1,0,100,100,HBGEDFAC,Tr,FGH,All,have 24/7 customer support,4,98
291,249,profitable,0,51,100,60,1,0,100,100,HBGEDFAC,Fa,AB,Some,have employee uniforms,3,0
291,249,profitable,0,51,100,60,1,0,100,100,HBGEDFAC,T1,EH,Conj2,are construction companies,1,97
291,249,profitable,0,51,100,60,1,0,100,100,HBGEDFAC,T2,ABDE,None,are family businesses,2,0
64,250,safe,27,68,75,35,95,32,11,2,BAHDCGEF,Tr,ADGH,Some,have a hardware store,1,65
64,250,safe,27,68,75,35,95,32,11,2,BAHDCGEF,Fa,ABH,None,are situated North of the city center,4,45
64,250,safe,27,68,75,35,95,32,11,2,BAHDCGEF,T1,DEGH,All,border a river,3,55
64,250,safe,27,68,75,35,95,32,11,2,BAHDCGEF,T2,ADEH,Num3,have a public library,2,51
27,45,profitable,17,57,98,70,82,43,64,6,HGAFDECB,Tr,AFGH,Num3,have 24/7 customer support,3,93
27,45,profitable,17,57,98,70,82,43,64,6,HGAFDECB,Fa,ABE,Num2,are family businesses,4,1
27,45,profitable,17,57,98,70,82,43,64,6,HGAFDECB,T1,DH,Conj2,have employee uniforms,1,99
27,45,profitable,17,57,98,70,82,43,64,6,HGAFDECB,T2,ABDE,Some,are construction companies,2,85
146,251,complete,70,100,85,7,100,21,46,96,EHFAGCBD,Tr,AEGH,Some,require an official statement from the bank,2,4
146,251,complete,70,100,85,7,100,21,46,96,EHFAGCBD,Fa,ABH,None,involve a repeat offender,3,9
146,251,complete,70,100,85,7,100,21,46,96,EHFAGCBD,T1,AEFGH,Num3,are about credit card fraud,4,1
146,251,complete,70,100,85,7,100,21,46,96,EHFAGCBD,T2,DEH,All,affect retired clients,1,20
189,46,safe,63,42,18,100,0,93,82,72,BAEHCFGD,Tr,ABC,None,are situated North of the city center,2,100
189,46,safe,63,42,18,100,0,93,82,72,BAEHCFGD,Fa,ABH,Conj3,have a hardware store,4,12
189,46,safe,63,42,18,100,0,93,82,72,BAEHCFGD,T1,DEGH,Some,have a public library,1,100
189,46,safe,63,42,18,100,0,93,82,72,BAEHCFGD,T2,DEH,All,border a river,3,83
101,252,full,24,33,96,27,26,18,89,28,HECFDGBA,Tr,FGH,All,used a Boeing model plane,4,58
101,252,full,24,33,96,27,26,18,89,28,HECFDGBA,Fa,AB,Some,were international,2,17
101,252,full,24,33,96,27,26,18,89,28,HECFDGBA,T1,ABD,None,included a layover,1,89
101,252,full,24,33,96,27,26,18,89,28,HECFDGBA,T2,ABDH,Num2,left in the morning,3,24
209,47,complete,100,56,100,85,93,71,15,0,HFAECBDG,Tr,FGH,Conj3,affect retired clients,1,89
209,47,complete,100,56,100,85,93,71,15,0,HFAECBDG,Fa,AB,Some,involve a repeat offender,3,10
209,47,complete,100,56,100,85,93,71,15,0,HFAECBDG,T1,ABE,None,require an official statement from the bank,4,68
209,47,complete,100,56,100,85,93,71,15,0,HFAECBDG,T2,ABDH,Num2,are about credit card fraud,2,27
249,253,tall,50,100,76,0,0,0,0,100,FBGCHADE,Tr,ADGH,Some,drink coffee,4,100
249,253,tall,50,100,76,0,0,0,0,100,FBGCHADE,Fa,ABE,Num2,play video games,2,0
249,253,tall,50,100,76,0,0,0,0,100,FBGCHADE,T1,DEGH,All,use public transport,3,0
249,253,tall,50,100,76,0,0,0,0,100,FBGCHADE,T2,AE,Conj2,have roommates,1,0
121,48,full,0,34,83,39,0,100,100,64,FAEDCGHB,Tr,ABC,None,used a Boeing model plane,1,100
121,48,full,0,34,83,39,0,100,100,64,FAEDCGHB,Fa,AB,Some,included a layover,2,0
121,48,full,0,34,83,39,0,100,100,64,FAEDCGHB,T1,AEFGH,Num3,were international,4,38
121,48,full,0,34,83,39,0,100,100,64,FAEDCGHB,T2,ABEH,Num2,left in the morning,3,20
7,254,powerful,37,72,84,29,58,50,95,40,GECAFHDB,Tr,ABC,None,are black,1,61
7,254,powerful,37,72,84,29,58,50,95,40,GECAFHDB,Fa,ABE,Num2,have a touchscreen,4,18
7,254,powerful,37,72,84,29,58,50,95,40,GECAFHDB,T1,DEGH,Some,have heated seats,2,100
7,254,powerful,37,72,84,29,58,50,95,40,GECAFHDB,T2,DEH,All,have leather interiors,3,37
118,255,young,65,62,69,60,64,62,68,62,GHBCFDAE,Tr,FGH,All,keep journals,3,68
118,255,young,65,62,69,60,64,62,68,62,GHBCFDAE,Fa,ABH,Conj3,use black pens,2,71
118,255,young,65,62,69,60,64,62,68,62,GHBCFDAE,T1,ABD,None,are left-handed,4,50
118,255,young,65,62,69,60,64,62,68,62,GHBCFDAE,T2,ADEH,Num3,have houseplants,1,71
4,49,tall,100,86,63,79,62,77,49,47,DCAFGBEH,Tr,ABGH,Num2,play video games,3,80
4,49,tall,100,86,63,79,62,77,49,47,DCAFGBEH,Fa,ABDE,Num3,drink coffee,2,65
4,49,tall,100,86,63,79,62,77,49,47,DCAFGBEH,T1,EH,Conj2,have roommates,1,100
4,49,tall,100,86,63,79,62,77,49,47,DCAFGBEH,T2,DEH,Conj3,use public transport,4,90
96,256,hot,70,71,90,72,60,63,100,83,GAFCEHDB,Tr,ADGH,Some,had high humidity,2,50
96,256,hot,70,71,90,72,60,63,100,83,GAFCEHDB,Fa,AH,Conj2,were workdays,3,81
96,256,hot,70,71,90,72,60,63,100,83,GAFCEHDB,T1,ABEGH,Num2,were windy,4,56
96,256,hot,70,71,90,72,60,63,100,83,GAFCEHDB,T2,ADEH,Num3,had heavy traffic,1,61
247,50,powerful,10,90,59,58,100,100,100,0,DEACFHGB,Tr,ABC,None,are black,2,100
247,50,powerful,10,90,59,58,100,100,100,0,DEACFHGB,Fa,AB,Some,have a touchscreen,4,11
247,50,powerful,10,90,59,58,100,100,100,0,DEACFHGB,T1,AEFGH,Num3,have leather interiors,3,100
247,50,powerful,10,90,59,58,100,100,100,0,DEACFHGB,T2,AD,Conj2,have heated seats,1,71
252,257,expensive,74,75,100,9,19,57,82,30,HBCAFGDE,Tr,ABGH,Num2,have reflector headlights,2,100
252,257,expensive,74,75,100,9,19,57,82,30,HBCAFGDE,Fa,AH,Conj2,have the gas tank door on the left side,1,63
252,257,expensive,74,75,100,9,19,57,82,30,HBCAFGDE,T1,DGH,Conj3,have tinted windows,3,100
252,257,expensive,74,75,100,9,19,57,82,30,HBCAFGDE,T2,ABDE,Some,are grey,4,61
57,51,young,53,10,38,29,23,82,90,49,DBECAHGF,Tr,GH,Conj2,are left-handed,1,94
57,51,young,53,10,38,29,23,82,90,49,DBECAHGF,Fa,ABH,None,have houseplants,3,6
57,51,young,53,10,38,29,23,82,90,49,DBECAHGF,T1,DEGH,All,use black pens,2,40
57,51,young,53,10,38,29,23,82,90,49,DBECAHGF,T2,ABEH,Num2,keep journals,4,35
181,258,large,73,34,66,24,73,61,70,73,DACEHFGB,Tr,AFGH,Num3,come pre-furnished,3,62
181,258,large,73,34,66,24,73,61,70,73,DACEHFGB,Fa,ABH,Conj3,are located on the top floor,2,80
181,258,large,73,34,66,24,73,61,70,73,DACEHFGB,T1,DH,Conj2,have air conditioning,1,71
181,258,large,73,34,66,24,73,61,70,73,DACEHFGB,T2,DEH,All,have double-glazed windows,4,71
89,52,hot,59,87,84,76,90,98,67,79,EGDCFBHA,Tr,ABGH,Num2,had high humidity,4,66
89,52,hot,59,87,84,76,90,98,67,79,EGDCFBHA,Fa,ABDE,Num3,were windy,1,46
89,52,hot,59,87,84,76,90,98,67,79,EGDCFBHA,T1,DEGH,All,were workdays,3,73
89,52,hot,59,87,84,76,90,98,67,79,EGDCFBHA,T2,DEH,Conj3,had heavy traffic,2,79
277,259,late,100,0,1,100,0,17,100,100,CAGHBEDF,Tr,FGH,Conj3,work in HR,3,100
277,259,late,100,0,1,100,0,17,100,100,CAGHBEDF,Fa,ABEH,All,bring packed lunches,4,0
277,259,late,100,0,1,100,0,17,100,100,CAGHBEDF,T1,AEFGH,Num3,drink tea,1,50
277,259,late,100,0,1,100,0,17,100,100,CAGHBEDF,T2,ABDE,Some,use post-it notes,2,60
231,53,expensive,0,100,1,100,0,100,100,100,BCFHDEGA,Tr,ADGH,Some,have the gas tank door on the left side,2,0
231,53,expensive,0,100,1,100,0,100,100,100,BCFHDEGA,Fa,ABD,Num2,have reflector headlights,3,0
231,53,expensive,0,100,1,100,0,100,100,100,BCFHDEGA,T1,AEFGH,Num3,are grey,1,0
231,53,expensive,0,100,1,100,0,100,100,100,BCFHDEGA,T2,ABDE,None,have tinted windows,4,0
239,260,spicy,25,100,19,0,100,100,32,100,GCDHAEBF,Tr,GH,Conj2,come with complimentary prawn crackers,2,100
239,260,spicy,25,100,19,0,100,100,32,100,GCDHAEBF,Fa,ABH,Conj3,contain lemongrass,4,0
239,260,spicy,25,100,19,0,100,100,32,100,GCDHAEBF,T1,ABEGH,Num2,are served with noodles,3,100
239,260,spicy,25,100,19,0,100,100,32,100,GCDHAEBF,T2,DEH,All,contain holy basil,1,100
88,54,large,97,73,98,50,71,1,29,3,HEBDFCAG,Tr,ABC,None,have air conditioning,1,97
88,54,large,97,73,98,50,71,1,29,3,HEBDFCAG,Fa,ABDE,Num3,have double-glazed windows,2,0
88,54,large,97,73,98,50,71,1,29,3,HEBDFCAG,T1,DGH,Conj3,come pre-furnished,3,22
88,54,large,97,73,98,50,71,1,29,3,HEBDFCAG,T2,DEH,All,are located on the top floor,4,24
179,261,profitable,100,76,63,29,15,0,85,54,EBDCFGAH,Tr,ADGH,Some,have 24/7 customer support,3,100
179,261,profitable,100,76,63,29,15,0,85,54,EBDCFGAH,Fa,ABDE,Num3,are construction companies,4,5
179,261,profitable,100,76,63,29,15,0,85,54,EBDCFGAH,T1,EH,Conj2,are family businesses,2,98
179,261,profitable,100,76,63,29,15,0,85,54,EBDCFGAH,T2,ABDH,Num2,have employee uniforms,1,78
184,55,late,73,0,100,100,0,0,0,77,HAFGCDBE,Tr,GH,Conj2,drink tea,1,100
184,55,late,73,0,100,100,0,0,0,77,HAFGCDBE,Fa,ABDE,Num3,use post-it notes,2,0
184,55,late,73,0,100,100,0,0,0,77,HAFGCDBE,T1,ABEGH,Num2,work in HR,3,100
184,55,late,73,0,100,100,0,0,0,77,HAFGCDBE,T2,DEH,All,bring packed lunches,4,6
61,262,safe,83,72,69,67,87,79,80,71,ADEGFHCB,Tr,GH,Conj2,have a hardware store,2,84
61,262,safe,83,72,69,67,87,79,80,71,ADEGFHCB,Fa,ABDE,Num3,have a public library,4,91
61,262,safe,83,72,69,67,87,79,80,71,ADEGFHCB,T1,ABE,None,are situated North of the city center,3,89
61,262,safe,83,72,69,67,87,79,80,71,ADEGFHCB,T2,ABEH,Num2,border a river,1,86
6,56,spicy,16,99,88,76,88,70,23,13,GFCEHBDA,Tr,ABC,None,are served with noodles,3,87
6,56,spicy,16,99,88,76,88,70,23,13,GFCEHBDA,Fa,ABH,Conj3,come with complimentary prawn crackers,1,43
6,56,spicy,16,99,88,76,88,70,23,13,GFCEHBDA,T1,DEGH,All,contain holy basil,2,86
6,56,spicy,16,99,88,76,88,70,23,13,GFCEHBDA,T2,ABDH,Num2,contain lemongrass,4,93
86,263,complete,100,4,4,100,0,0,50,3,CFEHABDG,Tr,ABGH,Num2,affect retired clients,4,100
86,263,complete,100,4,4,100,0,0,50,3,CFEHABDG,Fa,ABH,Conj3,are about credit card fraud,3,0
86,263,complete,100,4,4,100,0,0,50,3,CFEHABDG,T1,ADFGH,Num3,involve a repeat offender,1,0
86,263,complete,100,4,4,100,0,0,50,3,CFEHABDG,T2,AE,Conj2,require an official statement from the bank,2,0
262,264,full,18,25,7,27,90,29,40,87,AHGFDECB,Tr,AEGH,Some,were international,1,89
262,264,full,18,25,7,27,90,29,40,87,AHGFDECB,Fa,AH,Conj2,left in the morning,2,13
262,264,full,18,25,7,27,90,29,40,87,AHGFDECB,T1,EGH,Conj3,used a Boeing model plane,3,11
262,264,full,18,25,7,27,90,29,40,87,AHGFDECB,T2,ADEH,Num3,included a layover,4,20
208,57,profitable,60,67,7,61,100,83,23,43,AHCEFBGD,Tr,ABGH,Num2,have employee uniforms,3,70
208,57,profitable,60,67,7,61,100,83,23,43,AHCEFBGD,Fa,ABH,Conj3,are family businesses,2,0
208,57,profitable,60,67,7,61,100,83,23,43,AHCEFBGD,T1,ABD,None,are construction companies,1,35
208,57,profitable,60,67,7,61,100,83,23,43,AHCEFBGD,T2,ADEH,Num3,have 24/7 customer support,4,93
280,265,tall,100,51,100,61,0,37,100,100,FAEDCHBG,Tr,AFGH,Num3,play video games,2,100
280,265,tall,100,51,100,61,0,37,100,100,FAEDCHBG,Fa,ABH,None,use public transport,3,0
280,265,tall,100,51,100,61,0,37,100,100,FAEDCHBG,T1,EGH,Conj3,have roommates,4,100
280,265,tall,100,51,100,61,0,37,100,100,FAEDCHBG,T2,ABDH,Num2,drink coffee,1,70
284,58,safe,66,90,81,76,63,85,60,63,CDBGHFEA,Tr,FGH,All,have a public library,1,56
284,58,safe,66,90,81,76,63,85,60,63,CDBGHFEA,Fa,ABH,None,border a river,4,60
284,58,safe,66,90,81,76,63,85,60,63,CDBGHFEA,T1,AEFGH,Num3,are situated North of the city center,3,39
284,58,safe,66,90,81,76,63,85,60,63,CDBGHFEA,T2,ABDE,Some,have a hardware store,2,62
243,266,powerful,67,83,50,38,50,83,10,88,DEAFBGHC,Tr,ABGH,Num2,have heated seats,3,70
243,266,powerful,67,83,50,38,50,83,10,88,DEAFBGHC,Fa,ABH,Conj3,are black,1,76
243,266,powerful,67,83,50,38,50,83,10,88,DEAFBGHC,T1,EH,Conj2,have leather interiors,4,82
243,266,powerful,67,83,50,38,50,83,10,88,DEAFBGHC,T2,DEH,All,have a touchscreen,2,65
10,267,young,16,50,14,62,39,100,83,2,BDAFEGHC,Tr,AFGH,Num3,have houseplants,4,45
10,267,young,16,50,14,62,39,100,83,2,BDAFEGHC,Fa,ABEH,All,are left-handed,1,15
10,267,young,16,50,14,62,39,100,83,2,BDAFEGHC,T1,DGH,Conj3,use black pens,2,72
10,267,young,16,50,14,62,39,100,83,2,BDAFEGHC,T2,ABDE,None,keep journals,3,42
109,59,complete,100,75,1,76,26,100,95,45,ABCDEFHG,Tr,ADGH,Some,involve a repeat offender,2,51
109,59,complete,100,75,1,76,26,100,95,45,ABCDEFHG,Fa,ABH,Conj3,affect retired clients,4,15
109,59,complete,100,75,1,76,26,100,95,45,ABCDEFHG,T1,AEFGH,Num3,are about credit card fraud,3,34
109,59,complete,100,75,1,76,26,100,95,45,ABCDEFHG,T2,ABDH,Num2,require an official statement from the bank,1,30
191,268,hot,70,82,98,77,71,87,75,92,HAGDECFB,Tr,GH,Conj2,had heavy traffic,4,100
191,268,hot,70,82,98,77,71,87,75,92,HAGDECFB,Fa,AB,Some,were windy,1,61
191,268,hot,70,82,98,77,71,87,75,92,HAGDECFB,T1,ABEGH,Num2,were workdays,2,96
191,268,hot,70,82,98,77,71,87,75,92,HAGDECFB,T2,DEH,Conj3,had high humidity,3,92
131,60,full,100,6,5,4,1,4,2,100,FBGADCEH,Tr,ABGH,Num2,were international,3,100
131,60,full,100,6,5,4,1,4,2,100,FBGADCEH,Fa,AH,Conj2,used a Boeing model plane,1,2
131,60,full,100,6,5,4,1,4,2,100,FBGADCEH,T1,DEGH,All,included a layover,4,0
131,60,full,100,6,5,4,1,4,2,100,FBGADCEH,T2,ABDE,None,left in the morning,2,0
183,269,expensive,60,61,66,64,70,64,62,61,FDCEGHAB,Tr,FGH,Conj3,have reflector headlights,3,65
